Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2023 - 2024,2024 Fall,UGRD,UGRD,David,Ewing,,UNIV-EN,1131,011,0,0,0,0,0,0,51,0,0,0,0,51
2023 - 2024,2024 Fall,UGRD,UGRD,David,Ewing,,UNIV-EN,1131,100,19,0,0,0,0,0,0,0,0,0,0,19
2023 - 2024,2024 Fall,UGRD,UGRD,David,Ewing,,MAE,1140,001,0,0,0,0,0,0,10,0,0,0,0,10
2023 - 2024,2024 Fall,UGRD,UGRD,David,Ewing,,MAE,1140,002,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,UGRD,UGRD,Jonathan,Eyer,,THEA,10,002,30,16,0,0,0,0,0,0,0,0,0,46
2023 - 2024,2024 Fall,UGRD,UGRD,Jonathan,Eyer,,THEA,4317,001,25,20,0,0,0,0,0,0,0,0,0,45
2023 - 2024,2024 Fall,GRAD,GRAD,Paul,Fadel,,KINE,6100,001,0,7,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Fall,UGRD,UGRD,James,Fagan,,AS,2121,001,13,17,16,0,0,0,0,0,0,0,0,46
2023 - 2024,2024 Fall,GRAD,GRAD,Di,Fan,,MANA,5340,070,26,0,0,0,0,0,0,0,0,0,0,26
2023 - 2024,2024 Fall,GRAD,GRAD,Di,Fan,,MANA,5340,071,16,6,0,0,0,0,0,0,0,0,0,22
2023 - 2024,2024 Fall,GRAD,GRAD,Shu-Kai,Fan,,OPMA,5361,072,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Zheng,Fang,,CE,4328,001,29,0,0,0,0,0,0,0,0,0,0,29
2023 - 2024,2024 Fall,UGRD,UGRD,Sophia,Fantus,,SOCW,3300,004,46,6,0,0,0,0,0,0,0,0,0,52
2023 - 2024,2024 Fall,GRAD,GRAD,Sophia,Fantus,,SOCW,5318,002,56,0,0,0,0,0,0,0,0,0,0,56
2023 - 2024,2024 Fall,GRAD,GRAD,Sophia,Fantus,,PLAN,6347,001,57,0,0,0,0,0,0,0,0,0,0,57
2023 - 2024,2024 Fall,GRAD,GRAD,Farnaz,Farahanipad,,CSE,5325,004,60,0,0,0,0,0,0,0,0,0,0,60
2023 - 2024,2024 Fall,GRAD,GRAD,Farnaz,Farahanipad,,CSE,5325,005,13,0,0,0,0,0,0,0,0,0,0,13
2023 - 2024,2024 Fall,GRAD,GRAD,Farnaz,Farahanipad,,CSE,6324,002,11,6,0,0,0,0,0,0,0,0,0,17
2023 - 2024,2024 Fall,GRAD,GRAD,Farnaz,Farahanipad,,CSE,6324,003,15,0,9,0,0,0,0,0,0,0,0,24
2023 - 2024,2024 Fall,GRAD,GRAD,Farnaz,Farahanipad,,CSE,6324,004,13,0,0,0,0,0,0,0,0,0,0,13
2023 - 2024,2024 Fall,UGRD,UGRD,Mehdi,Farahbakhsh,,ARCH,3343,003,11,0,0,0,0,0,0,0,0,0,0,11
2023 - 2024,2024 Fall,UGRD,UGRD,Mehdi,Farahbakhsh,,ARCH,4556,006,26,31,0,0,0,0,0,0,0,0,0,57
2023 - 2024,2024 Fall,UGRD,UGRD,Amir,Farbin,,DATA,3402,001,25,18,0,0,0,0,0,0,0,0,0,43
2023 - 2024,2024 Fall,UGRD,UGRD,Amir,Farbin,,DATA,3461,001,0,10,0,0,0,0,0,0,0,0,0,10
2023 - 2024,2024 Fall,GRAD,GRAD,Jacqueline,Fay,,ENGL,5300,001,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,GRAD,GRAD,Leonidas,Fegaras,,CSE,5335,001,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,GRAD,GRAD,Leonidas,Fegaras,,CSE,6332,001,7,0,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Fall,GRAD,GRAD,Leonidas,Fegaras,,CSE,6332,003,10,26,21,38,0,0,0,0,9,0,0,104
2023 - 2024,2024 Fall,UGRD,UGRD,Jean,Fernandes,,ART,3340,001,10,25,33,33,0,0,0,0,7,0,0,108
2023 - 2024,2024 Fall,UGRD,UGRD,Jean,Fernandes,,ART,4340,001,10,17,26,35,0,0,0,0,17,0,0,105
2023 - 2024,2024 Fall,UGRD,UGRD,Carlos,Fernandez,,MUSI,122,007,45,0,0,0,0,0,0,0,0,0,0,45
2023 - 2024,2024 Fall,UGRD,UGRD,Raul,Fernandez,,MAE,1351,001,7,12,14,0,0,0,0,0,0,0,0,33
2023 - 2024,2024 Fall,UGRD,UGRD,Raul,Fernandez,,MAE,1351,002,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Raul,Fernandez,,MAE,1351,003,0,0,0,0,0,0,12,0,0,0,0,12
2023 - 2024,2024 Fall,UGRD,UGRD,Raul,Fernandez,,MAE,4287,001,15,0,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Raul,Fernandez,,MAE,4301,100,15,0,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,GRAD,GRAD,Susan,Ferreira,,IE,5351,001,14,0,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Jessica,Ferring Glenn,,MUSI,10,060,18,0,0,0,0,0,0,0,0,0,0,18
2023 - 2024,2024 Fall,UGRD,UGRD,Jessica,Ferring Glenn,,MUSI,4101,001,20,0,0,0,0,0,0,0,0,0,0,20
2023 - 2024,2024 Fall,GRAD,GRAD,Noelle,Fields,,SOCW,5332,001,10,0,0,0,0,0,0,0,0,0,0,10
2023 - 2024,2024 Fall,GRAD,GRAD,Noelle,Fields,,SOCW,5332,002,7,8,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,GRAD,GRAD,Janet,Finch,,SOCW,5395,001,7,0,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Fall,GRAD,GRAD,Janet,Finch,,SOCW,5395,002,9,6,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Donna,Firouzbakht,,INTD,3321,001,15,0,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Donna,Firouzbakht,,ARCH,3343,006,15,0,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Bryan,Florentin,,ART,4359,001,0,15,12,0,0,0,0,0,0,0,0,27
2023 - 2024,2024 Fall,UGRD,UGRD,Melissa,Flores,,SUT,3300,001,10,10,0,0,0,0,0,0,0,0,0,20
2023 - 2024,2024 Fall,UGRD,UGRD,Melissa,Flores,,SOCW,4452,101,0,0,0,0,0,0,9,0,0,0,0,9
2023 - 2024,2024 Fall,UGRD,UGRD,Melissa,Flores,,SOCW,4552,001,21,23,10,0,0,0,0,0,0,0,0,54
2023 - 2024,2024 Fall,UGRD,UGRD,Hila,Fogel-Yaari,,ACCT,3311,002,32,15,0,0,0,0,0,0,0,0,0,47
2023 - 2024,2024 Fall,GRAD,GRAD,Hila,Fogel-Yaari,,ACCT,5319,001,18,12,11,0,0,0,0,0,0,0,0,41
2023 - 2024,2024 Fall,UGRD,UGRD,Cathy,Forbes,,MUSI,10,009,9,21,9,0,0,0,0,0,0,0,0,39
2023 - 2024,2024 Fall,GRAD,GRAD,Negin,Fraidouni,,CSE,5301,001,32,22,0,0,0,0,0,0,0,0,0,54
2023 - 2024,2024 Fall,GRAD,GRAD,Negin,Fraidouni,,CSE,5301,003,10,7,0,0,0,0,0,0,0,0,0,17
2023 - 2024,2024 Fall,GRAD,GRAD,Negin,Fraidouni,,CSE,5301,006,7,0,7,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,GRAD,GRAD,Negin,Fraidouni,,CSE,5301,007,0,0,0,0,0,0,9,0,0,0,0,9
2023 - 2024,2024 Fall,GRAD,GRAD,Negin,Fraidouni,,CSE,5311,006,0,0,0,0,0,0,10,0,0,0,0,10
2023 - 2024,2024 Fall,UGRD,UGRD,Dashiva,Francois,,ENGL,1301,055,0,0,0,0,0,0,8,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Dashiva,Francois,,ENGL,1302,006,10,0,0,0,0,0,0,0,0,0,0,10
2023 - 2024,2024 Fall,GRAD,GRAD,Melissa,Franklin,,NURS,5130,407,25,0,0,0,0,0,0,0,0,0,0,25
2023 - 2024,2024 Fall,GRAD,GRAD,Melissa,Franklin,,NURS,5130,441,20,0,0,0,0,0,0,0,0,0,0,20
2023 - 2024,2024 Fall,GRAD,GRAD,Melissa,Franklin,,NURS,5130,453,11,0,0,0,0,0,0,0,0,0,0,11
2023 - 2024,2024 Fall,GRAD,GRAD,Rachel,Franz,,SOCW,5362,001,26,0,0,0,0,0,0,0,0,0,0,26
2023 - 2024,2024 Fall,UGRD,UGRD,Mark,Frazier,,SOCW,3300,010,8,33,25,7,0,0,0,0,0,0,0,73
2023 - 2024,2024 Fall,UGRD,UGRD,Mark,Frazier,,SOCW,3305,001,18,0,0,0,0,0,0,0,0,0,0,18
2023 - 2024,2024 Fall,UGRD,UGRD,Mark,Frazier,,SOCW,3309,003,29,13,11,0,0,0,0,0,0,0,0,53
2023 - 2024,2024 Fall,UGRD,UGRD,Mark,Frazier,,SOCW,3309,006,34,12,13,0,6,0,0,0,6,0,0,71
2023 - 2024,2024 Fall,UGRD,UGRD,Traci,Freling,,MARK,3321,032,24,20,6,0,11,0,0,0,0,0,0,61
2023 - 2024,2024 Fall,UGRD,UGRD,Traci,Freling,,MARK,3323,001,11,22,15,7,0,0,0,0,0,0,0,55
2023 - 2024,2024 Fall,UGRD,UGRD,Donna,French,,CSE,1310,003,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,UGRD,UGRD,Donna,French,,CSE,1310,005,29,23,0,0,0,0,0,0,0,0,0,52
2023 - 2024,2024 Fall,UGRD,UGRD,Donna,French,,CSE,1310,009,18,30,0,0,0,0,0,0,0,0,0,48
2023 - 2024,2024 Fall,UGRD,UGRD,Donna,French,,CSE,1320,003,31,16,8,0,0,0,0,0,0,0,0,55
2023 - 2024,2024 Fall,UGRD,UGRD,Kelly,French,,CSE,3302,001,51,74,38,6,0,0,0,0,6,0,0,175
2023 - 2024,2024 Fall,UGRD,UGRD,Kelly,French,,CSE,3302,002,36,63,31,6,6,0,0,0,0,0,0,142
2023 - 2024,2024 Fall,UGRD,UGRD,Kelly,French,,CSE,3302,003,48,37,32,15,7,0,0,0,7,0,0,146
2023 - 2024,2024 Fall,UGRD,UGRD,Luke,Frishkoff,,BIOL,3333,001,141,20,0,0,0,0,0,0,0,0,0,161
2023 - 2024,2024 Fall,UGRD,UGRD,Ariane,Froidevaux,,MANA,3318,003,25,0,0,0,0,0,0,0,0,0,0,25
2023 - 2024,2024 Fall,UGRD,UGRD,Ariane,Froidevaux,,MANA,3318,004,116,23,0,0,0,0,0,0,0,0,0,139
2023 - 2024,2024 Fall,UGRD,UGRD,Matthew,Fujita,,BIOL,3315,001,20,0,0,0,0,0,0,0,0,0,0,20
2023 - 2024,2024 Fall,UGRD,UGRD,Deana,Furr,,NURS,3315,500,11,17,13,0,0,0,0,0,0,0,0,41
2023 - 2024,2024 Fall,UGRD,UGRD,Deana,Furr,,NURSU,3315,500,7,27,10,0,0,0,0,0,0,0,0,44
2023 - 2024,2024 Fall,UGRD,UGRD,Deana,Furr,,NURS,3315,502,9,10,0,0,0,0,0,0,0,0,0,19
2023 - 2024,2024 Fall,UGRD,UGRD,Deana,Furr,,NURSU,3315,502,36,11,0,0,0,0,0,0,0,0,0,47
2023 - 2024,2024 Fall,UGRD,UGRD,Todd,Gabel,,ECON,2306,009,37,12,6,0,0,0,0,0,0,0,0,55
2023 - 2024,2024 Fall,UGRD,UGRD,Todd,Gabel,,ECON,3303,003,49,12,0,0,0,0,0,0,0,0,0,61
2023 - 2024,2024 Fall,UGRD,UGRD,Todd,Gabel,,ECON,3305,001,45,42,0,0,0,0,0,0,0,0,0,87
2023 - 2024,2024 Fall,UGRD,UGRD,Marnim,Galib,,CSE,1310,002,8,18,0,0,0,0,0,0,0,0,0,26
2023 - 2024,2024 Fall,UGRD,UGRD,Marnim,Galib,,CSE,1310,006,61,0,0,0,0,0,0,0,0,0,0,61
2023 - 2024,2024 Fall,GRAD,GRAD,Marnim,Galib,,CSE,5334,003,15,12,0,0,0,0,0,0,0,0,0,27
2023 - 2024,2024 Fall,GRAD,GRAD,Marnim,Galib,,CSE,5334,004,13,0,0,0,0,0,0,0,0,0,0,13
2023 - 2024,2024 Fall,GRAD,GRAD,Marnim,Galib,,CSE,5334,104,15,11,0,0,0,0,0,0,0,0,0,26
2023 - 2024,2024 Fall,GRAD,GRAD,Marnim,Galib,,CSE,6367,001,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Martin,Gallagher,,CLAS,1300,001,7,8,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Martin,Gallagher,,LATN,1441,001,20,16,13,6,0,0,0,0,0,0,0,55
2023 - 2024,2024 Fall,UGRD,UGRD,Martin,Gallagher,,ART,3302,001,23,10,0,0,0,0,0,0,0,0,0,33
2023 - 2024,2024 Fall,UGRD,UGRD,Martin,Gallagher,,ANTH,3371,001,6,0,0,0,0,0,0,0,0,0,0,6
2023 - 2024,2024 Fall,UGRD,UGRD,Gajanan,Ganji,,INSY,2303,009,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,UGRD,UGRD,Nicholas,Gans,,CSE,4360,001,7,0,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Fall,GRAD,GRAD,Nicholas,Gans,,CSE,5364,001,25,31,0,0,0,0,0,0,0,0,0,56
2023 - 2024,2024 Fall,UGRD,UGRD,Roger,Gans,,ADVT,3304,001,38,24,10,0,18,0,0,0,0,0,0,90
2023 - 2024,2024 Fall,UGRD,UGRD,Roger,Gans,,ADVT,3304,002,8,6,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Roger,Gans,,ADVT,4301,002,15,0,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,GRAD,GRAD,Xuedong,Gao,,INSY,5375,070,7,0,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Fall,UGRD,UGRD,Zhenjia,Gao,,UNIV-EN,1131,020,0,0,0,0,0,0,8,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Daniel,Garcia,,ART,2358,001,20,7,0,0,0,0,0,0,0,0,0,27
2023 - 2024,2024 Fall,UGRD,UGRD,Daniel,Garcia,,ART,3358,001,13,8,6,0,0,0,0,0,0,0,0,27
2023 - 2024,2024 Fall,GRAD,GRAD,Veronica,Garcia,,NURS,5337,472,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,GRAD,GRAD,Mary,Gardner,,NURS,5680,451,83,15,6,0,6,0,0,0,0,0,0,110
2023 - 2024,2024 Fall,UGRD,UGRD,Angela,Garner,,SPAN,1441,016,56,14,0,0,0,0,0,0,0,0,0,70
2023 - 2024,2024 Fall,UGRD,UGRD,Angela,Garner,,SPAN,2313,009,44,9,0,0,7,0,0,0,0,0,0,60
2023 - 2024,2024 Fall,UGRD,UGRD,Angela,Garner,,SPAN,2313,010,37,13,0,0,0,0,0,0,0,0,0,50
2023 - 2024,2024 Fall,UGRD,UGRD,Rebecca,Garner,,KINE,2350,005,59,26,6,0,0,0,0,0,0,0,0,91
2023 - 2024,2024 Fall,UGRD,UGRD,Rebecca,Garner,,KINE,2350,500,51,9,0,0,0,0,0,0,0,0,0,60
2023 - 2024,2024 Fall,UGRD,UGRD,Rebecca,Garner,,KINE,2350,501,35,7,0,0,0,0,0,0,0,0,0,42
2023 - 2024,2024 Fall,UGRD,UGRD,Rebecca,Garner,,HEED,3330,001,44,25,11,0,8,0,0,0,0,0,0,88
2023 - 2024,2024 Fall,UGRD,UGRD,Rebecca,Garner,,HEED,3330,500,40,42,19,0,0,0,0,0,0,0,0,101
2023 - 2024,2024 Fall,UGRD,UGRD,Rebecca,Garner,,KINE,4357,001,85,17,6,0,0,0,0,0,0,0,0,108
2023 - 2024,2024 Fall,UGRD,UGRD,Rebecca,Garner,,KINE,4357,500,26,9,0,0,0,0,0,0,0,0,0,35
2023 - 2024,2024 Fall,UGRD,UGRD,Tyler,Garner,,KINE,3300,001,52,19,0,0,0,0,0,0,0,0,0,71
2023 - 2024,2024 Fall,UGRD,UGRD,Tyler,Garner,,HEED,3301,001,22,0,0,0,0,0,0,0,0,0,0,22
2023 - 2024,2024 Fall,UGRD,UGRD,Tyler,Garner,,KINE,3302,002,15,0,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Tyler,Garner,,KINE,3357,500,6,0,0,0,0,0,0,0,0,0,0,6
2023 - 2024,2024 Fall,UGRD,UGRD,Tyler,Garner,,HEED,4312,500,12,14,0,0,0,0,0,0,0,0,0,26
2023 - 2024,2024 Fall,UGRD,UGRD,Tyler,Garner,,KINE,4331,001,8,6,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Brian,Garrett,,CRCJ,4302,001,19,0,0,0,0,0,0,0,0,0,0,19
2023 - 2024,2024 Fall,GRAD,GRAD,Krystle,Garrett,,NURS,5354,404,57,8,0,0,6,0,0,0,0,0,0,71
2023 - 2024,2024 Fall,UGRD,UGRD,John,Garrigus,,HIST,3356,001,32,0,0,0,0,0,0,0,0,0,0,32
2023 - 2024,2024 Fall,UGRD,UGRD,Alicia,Garza,,GLOBAL,2301,004,0,6,0,0,0,0,0,0,0,0,0,6
2023 - 2024,2024 Fall,UGRD,UGRD,Alicia,Garza,,GWSS,2310,002,0,0,0,0,0,0,6,0,0,0,0,6
2023 - 2024,2024 Fall,UGRD,UGRD,Alicia,Garza,,GWSS,3301,001,0,0,0,0,0,0,8,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Alma,Garza,,SOCI,3322,001,21,0,0,0,0,0,0,0,0,0,0,21
2023 - 2024,2024 Fall,UGRD,UGRD,Alma,Garza,,SOCI,3362,001,13,0,0,0,0,0,0,0,0,0,0,13
2023 - 2024,2024 Fall,GRAD,GRAD,Kathleen,Garza,,NURS,5120,452,24,11,0,0,0,0,0,0,0,0,0,35
2023 - 2024,2024 Fall,GRAD,GRAD,Kathleen,Garza,,NURS,5660,456,24,0,0,0,0,0,0,0,0,0,0,24
2023 - 2024,2024 Fall,UGRD,UGRD,Natalie,Gaupp,,ENGL,1301,042,23,0,0,0,0,0,0,0,0,0,0,23
2023 - 2024,2024 Fall,UGRD,UGRD,Natalie,Gaupp,,ENGL,1301,CO13,23,0,0,0,0,0,0,0,0,0,0,23
2023 - 2024,2024 Fall,UGRD,UGRD,Kelly,Gebhart,,ACCT,3315,007,43,22,0,0,0,0,0,0,0,0,0,65
2023 - 2024,2024 Fall,UGRD,UGRD,Steven,Gellman,,HUMA,3300,001,45,15,0,0,0,0,0,0,0,0,0,60
2023 - 2024,2024 Fall,UGRD,UGRD,Steven,Gellman,,HUMA,3360,001,89,23,11,0,7,0,0,0,0,0,0,130
2023 - 2024,2024 Fall,UGRD,UGRD,Steven,Gellman,,SCIE,4303,001,78,0,0,0,0,0,0,0,0,0,0,78
2023 - 2024,2024 Fall,UGRD,UGRD,Kelle,George,,NURS,3364,603,0,0,0,0,0,0,8,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Kelle,George,,NURS,3364,604,15,8,0,0,0,0,0,0,0,0,0,23
2023 - 2024,2024 Fall,UGRD,UGRD,Kelle,George,,NURS,3364,605,23,0,0,0,0,0,0,0,0,0,0,23
2023 - 2024,2024 Fall,UGRD,UGRD,Kelle,George,,NURS,4323,002,11,0,0,0,0,0,0,0,0,0,0,11
2023 - 2024,2024 Fall,GRAD,GRAD,Heather,Gerarde,,NURS,5660,452,23,0,0,0,0,0,0,0,0,0,0,23
2023 - 2024,2024 Fall,GRAD,GRAD,Andrea,Germany,,SOCW,5308,002,7,0,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Fall,GRAD,GRAD,Andrea,Germany,,SOCW,5319,001,53,22,6,0,0,0,0,0,0,0,0,81
2023 - 2024,2024 Fall,GRAD,GRAD,Richard,Gertson,,PLAN,5304,001,25,14,0,0,0,0,0,0,0,0,0,39
2023 - 2024,2024 Fall,GRAD,GRAD,Amin,Gharehyakheh,,IE,5301,105,16,15,8,0,0,0,0,0,0,0,0,39
2023 - 2024,2024 Fall,GRAD,GRAD,Amin,Gharehyakheh,,IE,5317,001,22,0,0,0,0,0,0,0,0,0,0,22
2023 - 2024,2024 Fall,GRAD,GRAD,Soumaya,Gharsallaoui,,DASC,5300,001,69,11,0,0,9,0,0,0,0,0,0,89
2023 - 2024,2024 Fall,GRAD,GRAD,Soumaya,Gharsallaoui,,DASC,5301,001,29,0,0,0,0,0,0,0,0,0,0,29
2023 - 2024,2024 Fall,GRAD,GRAD,Soumaya,Gharsallaoui,,DASC,5301,002,27,0,0,0,0,0,0,0,0,0,0,27
2023 - 2024,2024 Fall,GRAD,GRAD,Gina,Giammanco,,KINE,5122,002,21,0,0,0,0,0,0,0,0,0,0,21
2023 - 2024,2024 Fall,UGRD,UGRD,Shawn,Gieser,,UNIV-EN,1131,010,24,0,0,0,0,0,0,0,0,0,0,24
2023 - 2024,2024 Fall,UGRD,UGRD,Shawn,Gieser,,CSE,4316,006,11,10,0,0,0,0,0,0,0,0,0,21
2023 - 2024,2024 Fall,UGRD,UGRD,Shawn,Gieser,,CSE,4316,007,14,0,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Shawn,Gieser,,CSE,4317,002,14,6,0,0,0,0,0,0,0,0,0,20
2023 - 2024,2024 Fall,GRAD,GRAD,Kristin,Gigli,,NURS,6382,002,7,8,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Carolyn,Giles,,ENGL,1301,050,8,0,6,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Carolyn,Giles,,ENGL,1301,096,8,0,6,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Carolyn,Giles,,ENGL,1301,097,10,6,0,0,0,0,0,0,0,0,0,16
2023 - 2024,2024 Fall,UGRD,UGRD,Carolyn,Giles,,ENGL,1301,CO10,0,0,0,0,0,0,6,0,0,0,0,6
2023 - 2024,2024 Fall,UGRD,UGRD,Carolyn,Giles,,ENGL,1301,CO11,86,26,12,0,0,0,0,0,0,0,0,124
2023 - 2024,2024 Fall,UGRD,UGRD,Sydney,Gillentine,,ENGL,1301,047,46,19,7,0,0,0,0,0,0,0,0,72
2023 - 2024,2024 Fall,UGRD,UGRD,Sydney,Gillentine,,ENGL,1301,049,36,11,13,0,0,0,0,0,0,0,0,60
2023 - 2024,2024 Fall,UGRD,UGRD,Kristie,Gilliland,,NURS,4350,614,15,0,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Antonia,Gkergki,,ECON,2305,006,15,15,13,0,11,0,0,0,8,0,0,62
2023 - 2024,2024 Fall,UGRD,UGRD,Antonia,Gkergki,,ECON,2306,002,0,0,0,0,0,0,20,0,0,0,0,20
2023 - 2024,2024 Fall,UGRD,UGRD,Antonia,Gkergki,,ECON,2306,004,18,11,9,7,6,0,0,0,7,0,0,58
2023 - 2024,2024 Fall,UGRD,UGRD,Antonia,Gkergki,,ECON,2306,011,8,8,9,0,0,0,0,0,0,0,0,25
2023 - 2024,2024 Fall,UGRD,UGRD,Erika,Glaser,,MATH,1308,501,0,6,7,0,0,0,0,0,0,0,0,13
2023 - 2024,2024 Fall,UGRD,UGRD,Jeremy,Glass,,MATH,311,5C1,0,9,8,19,13,0,0,0,11,0,0,60
2023 - 2024,2024 Fall,UGRD,UGRD,Jeremy,Glass,,MATH,1301,088,40,7,0,0,0,0,0,0,0,0,0,47
2023 - 2024,2024 Fall,UGRD,UGRD,Jeremy,Glass,,MATH,1301,501,42,6,0,0,0,0,0,0,0,0,0,48
2023 - 2024,2024 Fall,UGRD,UGRD,Jeremy,Glass,,MATH,1301,5C1,20,6,0,0,0,0,0,0,0,0,0,26
2023 - 2024,2024 Fall,UGRD,UGRD,Jeremy,Glass,,MATH,1426,088,97,21,7,0,14,0,0,0,0,0,0,139
2023 - 2024,2024 Fall,UGRD,UGRD,Seraphina,Glass,,THEA,1342,003,100,21,12,0,6,0,0,0,0,0,0,139
2023 - 2024,2024 Fall,UGRD,UGRD,Seraphina,Glass,,THEA,1342,010,75,38,14,0,10,0,0,0,0,0,0,137
2023 - 2024,2024 Fall,UGRD,UGRD,Seraphina,Glass,,THEA,3302,001,87,29,8,0,9,0,0,0,0,0,0,133
2023 - 2024,2024 Fall,UGRD,UGRD,Gregg,Gleichert,,POLS,2311,001,24,0,0,0,0,0,0,0,0,0,0,24
2023 - 2024,2024 Fall,UGRD,UGRD,Gregg,Gleichert,,POLS,2311,003,14,0,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Gregg,Gleichert,,POLS,2311,004,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Gregg,Gleichert,,POLS,2311,005,12,0,0,0,0,0,0,0,0,0,0,12
2023 - 2024,2024 Fall,GRAD,GRAD,Melissa,Glenn,,LIST,5317,005,6,0,0,0,0,0,0,0,0,0,0,6
2023 - 2024,2024 Fall,GRAD,GRAD,Melissa,Glenn,,LIST,5317,006,7,0,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Fall,UGRD,UGRD,Bethany,Goerdel,,SCIE,1201,002,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Bethany,Goerdel,,SCIE,4332,001,22,0,0,0,0,0,0,0,0,0,0,22
2023 - 2024,2024 Fall,UGRD,UGRD,Bethany,Goerdel,,SCIE,4333,001,45,13,0,10,0,0,0,0,0,0,0,68
2023 - 2024,2024 Fall,GRAD,GRAD,Sheila,Gold,,SOCW,5324,001,168,52,19,9,21,0,0,0,0,0,0,269
2023 - 2024,2024 Fall,GRAD,GRAD,Sheila,Gold,,SOCW,5353,009,65,27,12,0,0,0,0,0,0,0,0,104
2023 - 2024,2024 Fall,GRAD,GRAD,Sheila,Gold,,SOCW,5370,001,11,6,0,0,0,0,0,0,0,0,0,17
2023 - 2024,2024 Fall,UGRD,UGRD,Estevan,Gomez,,CRCJ,4352,001,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,UGRD,UGRD,Marisa,Gomez,,ARCH,1301,001,0,0,0,0,0,0,6,0,0,0,0,6
2023 - 2024,2024 Fall,UGRD,UGRD,Marisa,Gomez,,ARCH,1301,002,8,7,6,0,0,0,0,0,0,0,0,21
2023 - 2024,2024 Fall,UGRD,UGRD,Marisa,Gomez,,ARCH,4315,001,6,0,7,0,0,0,0,0,0,0,0,13
2023 - 2024,2024 Fall,UGRD,UGRD,Marisa,Gomez,,ARCH,4322,001,30,7,0,0,0,0,0,0,0,0,0,37
2023 - 2024,2024 Fall,UGRD,UGRD,Sandra,Gomez,,NURS,4350,708,20,17,15,0,0,0,0,0,0,0,0,52
2023 - 2024,2024 Fall,UGRD,UGRD,Nelson,Gomez-Torres,,CE,3302,001,11,22,14,0,0,0,0,0,0,0,0,47
